locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8365,"Nehru Nagar, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,338,µg/m³,28.56789,77.250515
6932,"Alipur, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,523,µg/m³,28.815329,77.15301
6356,"Pusa, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,317.27,µg/m³,28.639645,77.146262
6931,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,279,µg/m³,28.5710274,77.0719006
10488,"Najafgarh, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,248,µg/m³,28.570173,76.933762
5626,"DTU, Delhi - CPCB",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,332.7,µg/m³,28.7500499,77.1112615
8917,"Ashok Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,488,µg/m³,28.695381,77.181665
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,IN,2021-11-06T22:00:00+00:00,2021-11-07T03:30:00+05:30,pm25,262.9,µg/m³,28.60909,77.0325413
5630,"Shadipur, Delhi - CPCB",Delhi,IN,2021-11-06T22:00:00+00:00,2021-11-07T03:30:00+05:30,pm25,269.4,µg/m³,28.6514781,77.1473105
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-11-06T22:00:00+00:00,2021-11-07T03:30:00+05:30,pm25,385,µg/m³,28.530785,77.271255
6960,"Patparganj, Delhi - DPCC",Delhi,IN,2021-11-06T22:00:00+00:00,2021-11-07T03:30:00+05:30,pm25,469,µg/m³,28.623763,77.287209
5610,"North Campus, DU, Delhi - IMD",Delhi,IN,2021-11-06T22:00:00+00:00,2021-11-07T03:30:00+05:30,pm25,412.4,µg/m³,28.6573814,77.1585447
6359,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN,2021-11-06T22:00:00+00:00,2021-11-07T03:30:00+05:30,pm25,369,µg/m³,28.6811736,77.3025234
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,423,µg/m³,28.611281,77.237738
5626,"DTU, Delhi - CPCB",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,332.7,µg/m³,28.7500499,77.1112615
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,382,µg/m³,28.498571,77.26484
6359,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,369,µg/m³,28.6811736,77.3025234
10488,"Najafgarh, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,248,µg/m³,28.570173,76.933762
8917,"Ashok Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,488,µg/m³,28.695381,77.181665
8235,"Jahangirpuri, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,500,µg/m³,28.73282,77.170633
8915,"Wazirpur, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,495,µg/m³,28.699793,77.165453
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,507,µg/m³,28.647622,77.315809
8365,"Nehru Nagar, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,337,µg/m³,28.56789,77.250515
6932,"Alipur, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,523,µg/m³,28.815329,77.15301
5541,"Burari Crossing, Delhi - IMD",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,375.65,µg/m³,28.7256504,77.2011573
6960,"Patparganj, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,469,µg/m³,28.623763,77.287209
11603,"Chandni Chowk, Delhi - IITM",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,289.8,µg/m³,28.656756,77.227234
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,385,µg/m³,28.530785,77.271255
10486,"Mundka, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,383,µg/m³,28.684678,77.076574
5634,"Lodhi Road, Delhi - IMD",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,289.33,µg/m³,28.5918245,77.2273074
7044,"R K Puram, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,86,µg/m³,28.563262,77.186937
10831,"Rohini, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,437,µg/m³,28.732528,77.11992
6931,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,329,µg/m³,28.5710274,77.0719006
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,361,µg/m³,28.58028,77.233829
6358,"Mandir Marg, Delhi - DPCC",Delhi,IN,2021-11-06T21:45:00+00:00,2021-11-07T03:15:00+05:30,pm25,358,µg/m³,28.636429,77.201067
