locationId,value,latitude,longitude,date,time
5634,355.45,28.5918245,77.2273074,2021-11-06,19:15:00
8365,381.0,28.56789,77.250515,2021-11-06,19:15:00
5541,276.0,28.7256504,77.2011573,2021-11-06,19:15:00
6931,382.0,28.5710274,77.0719006,2021-11-06,19:15:00
6957,410.0,28.58028,77.233829,2021-11-06,19:15:00
10484,337.0,28.531346,77.190156,2021-11-06,19:15:00
8239,370.0,28.530785,77.271255,2021-11-06,19:15:00
10485,439.0,28.822836,77.101981,2021-11-06,19:15:00
10486,393.0,28.684678,77.076574,2021-11-06,19:15:00
8917,418.0,28.695381,77.181665,2021-11-06,19:15:00
11607,1073.2,28.588333,77.221667,2021-11-06,19:15:00
6356,340.35,28.639645,77.146262,2021-11-06,19:15:00
6960,455.0,28.623763,77.287209,2021-11-06,19:15:00
10489,458.0,28.628624,77.24106,2021-11-06,19:15:00
8915,487.0,28.699793,77.165453,2021-11-06,19:15:00
7044,117.0,28.563262,77.186937,2021-11-06,19:00:00
5630,326.8,28.6514781,77.1473105,2021-11-06,19:00:00
5610,397.98,28.6573814,77.1585447,2021-11-06,19:00:00
8475,431.0,28.710508,77.249485,2021-11-06,19:00:00
6358,461.0,28.636429,77.201067,2021-11-06,19:00:00
8239,395.0,28.530785,77.271255,2021-11-06,18:45:00
6358,461.0,28.636429,77.201067,2021-11-06,18:45:00
10831,429.0,28.732528,77.11992,2021-11-06,18:45:00
5626,310.3,28.7500499,77.1112615,2021-11-06,18:45:00
6934,395.0,28.498571,77.26484,2021-11-06,18:45:00
8475,431.0,28.710508,77.249485,2021-11-06,18:45:00
10485,439.0,28.822836,77.101981,2021-11-06,18:45:00
10484,337.0,28.531346,77.190156,2021-11-06,18:45:00
6931,411.0,28.5710274,77.0719006,2021-11-06,18:45:00
7044,117.0,28.563262,77.186937,2021-11-06,18:45:00
6960,425.0,28.623763,77.287209,2021-11-06,18:45:00
5541,218.55,28.7256504,77.2011573,2021-11-06,18:45:00
6957,437.0,28.58028,77.233829,2021-11-06,18:45:00
6356,362.16,28.639645,77.146262,2021-11-06,18:45:00
6357,421.0,28.674045,77.131023,2021-11-06,18:45:00
5509,388.0,28.647622,77.315809,2021-11-06,18:45:00
8915,440.0,28.699793,77.165453,2021-11-06,18:45:00
8917,418.0,28.695381,77.181665,2021-11-06,18:45:00
10488,351.0,28.570173,76.933762,2021-11-06,18:45:00
8472,444.0,28.7762,77.051074,2021-11-06,18:45:00
5634,339.76,28.5918245,77.2273074,2021-11-06,18:45:00
5570,279.52,28.4706914,77.1099364,2021-11-06,18:45:00
5586,345.0,28.5504249,77.2159377,2021-11-06,18:45:00
6938,471.0,28.672342,77.31526,2021-11-06,18:45:00
6932,464.0,28.815329,77.15301,2021-11-06,18:45:00
10486,445.0,28.684678,77.076574,2021-11-06,18:45:00
6929,442.0,28.611281,77.237738,2021-11-06,18:45:00
5610,374.52,28.6573814,77.1585447,2021-11-06,18:30:00
5630,321.1,28.6514781,77.1473105,2021-11-06,18:30:00
5622,291.6,28.60909,77.0325413,2021-11-06,18:30:00
6357,421.0,28.674045,77.131023,2021-11-06,18:15:00
8915,440.0,28.699793,77.165453,2021-11-06,18:15:00
5509,388.0,28.647622,77.315809,2021-11-06,18:15:00
6358,461.0,28.636429,77.201067,2021-11-06,18:15:00
10486,445.0,28.684678,77.076574,2021-11-06,18:15:00
10488,390.0,28.570173,76.933762,2021-11-06,18:15:00
8472,444.0,28.7762,77.051074,2021-11-06,18:15:00
10831,429.0,28.732528,77.11992,2021-11-06,18:15:00
6957,437.0,28.58028,77.233829,2021-11-06,18:15:00
5541,247.59,28.7256504,77.2011573,2021-11-06,18:15:00
7044,117.0,28.563262,77.186937,2021-11-06,18:15:00
6960,425.0,28.623763,77.287209,2021-11-06,18:15:00
6356,381.37,28.639645,77.146262,2021-11-06,18:15:00
6929,442.0,28.611281,77.237738,2021-11-06,18:15:00
6938,471.0,28.672342,77.31526,2021-11-06,18:15:00
6934,395.0,28.498571,77.26484,2021-11-06,18:15:00
8235,461.0,28.73282,77.170633,2021-11-06,18:15:00
10484,350.0,28.531346,77.190156,2021-11-06,18:15:00
8475,431.0,28.710508,77.249485,2021-11-06,18:15:00
5570,287.5,28.4706914,77.1099364,2021-11-06,18:15:00
6932,436.0,28.815329,77.15301,2021-11-06,18:15:00
5634,353.66,28.5918245,77.2273074,2021-11-06,18:15:00
6931,411.0,28.5710274,77.0719006,2021-11-06,18:15:00
8239,395.0,28.530785,77.271255,2021-11-06,18:15:00
5622,333.4,28.60909,77.0325413,2021-11-06,18:00:00
11607,251.3,28.588333,77.221667,2021-11-06,18:00:00
5586,359.0,28.5504249,77.2159377,2021-11-06,18:00:00
6359,314.2,28.6811736,77.3025234,2021-11-06,18:00:00
5626,300.2,28.7500499,77.1112615,2021-11-06,18:00:00
11603,285.9,28.656756,77.227234,2021-11-06,18:00:00
10489,409.0,28.628624,77.24106,2021-11-06,18:00:00
5630,155.5,28.6514781,77.1473105,2021-11-06,18:00:00
10489,409.0,28.628624,77.24106,2021-11-06,17:45:00
8475,423.0,28.710508,77.249485,2021-11-06,17:45:00
6931,444.0,28.5710274,77.0719006,2021-11-06,17:45:00
5541,286.16,28.7256504,77.2011573,2021-11-06,17:45:00
8365,453.0,28.56789,77.250515,2021-11-06,17:45:00
6357,404.0,28.674045,77.131023,2021-11-06,17:45:00
10485,439.0,28.822836,77.101981,2021-11-06,17:45:00
5634,370.76,28.5918245,77.2273074,2021-11-06,17:45:00
8239,444.0,28.530785,77.271255,2021-11-06,17:45:00
5586,359.0,28.5504249,77.2159377,2021-11-06,17:45:00
5626,300.2,28.7500499,77.1112615,2021-11-06,17:45:00
10831,445.0,28.732528,77.11992,2021-11-06,17:45:00
6929,450.0,28.611281,77.237738,2021-11-06,17:45:00
6932,436.0,28.815329,77.15301,2021-11-06,17:45:00
10486,499.0,28.684678,77.076574,2021-11-06,17:45:00
6938,462.0,28.672342,77.31526,2021-11-06,17:45:00
5650,322.93,28.5627763,77.1180053,2021-11-06,17:45:00
5570,324.83,28.4706914,77.1099364,2021-11-06,17:45:00
8917,381.0,28.695381,77.181665,2021-11-06,17:45:00
5509,399.0,28.647622,77.315809,2021-11-06,17:45:00
6356,401.86,28.639645,77.146262,2021-11-06,17:45:00
10488,390.0,28.570173,76.933762,2021-11-06,17:45:00
6960,423.0,28.623763,77.287209,2021-11-06,17:45:00
8472,418.0,28.7762,77.051074,2021-11-06,17:45:00
7044,119.0,28.563262,77.186937,2021-11-06,17:45:00
10484,350.0,28.531346,77.190156,2021-11-06,17:45:00
6934,406.0,28.498571,77.26484,2021-11-06,17:45:00
8915,411.0,28.699793,77.165453,2021-11-06,17:45:00
6957,433.0,28.58028,77.233829,2021-11-06,17:45:00
6358,414.0,28.636429,77.201067,2021-11-06,17:30:00
5630,156.2,28.6514781,77.1473105,2021-11-06,17:30:00
11603,232.0,28.656756,77.227234,2021-11-06,17:15:00
10488,428.0,28.570173,76.933762,2021-11-06,17:15:00
5634,381.34,28.5918245,77.2273074,2021-11-06,17:15:00
10485,471.0,28.822836,77.101981,2021-11-06,17:15:00
8915,411.0,28.699793,77.165453,2021-11-06,17:15:00
8235,454.0,28.73282,77.170633,2021-11-06,17:15:00
6938,462.0,28.672342,77.31526,2021-11-06,17:15:00
6957,433.0,28.58028,77.233829,2021-11-06,17:15:00
8239,444.0,28.530785,77.271255,2021-11-06,17:15:00
5541,273.75,28.7256504,77.2011573,2021-11-06,17:15:00
8472,418.0,28.7762,77.051074,2021-11-06,17:15:00
5586,354.0,28.5504249,77.2159377,2021-11-06,17:15:00
10486,499.0,28.684678,77.076574,2021-11-06,17:15:00
10831,445.0,28.732528,77.11992,2021-11-06,17:15:00
6934,406.0,28.498571,77.26484,2021-11-06,17:15:00
5626,342.7,28.7500499,77.1112615,2021-11-06,17:15:00
10489,421.0,28.628624,77.24106,2021-11-06,17:15:00
5650,338.57,28.5627763,77.1180053,2021-11-06,17:15:00
6931,444.0,28.5710274,77.0719006,2021-11-06,17:15:00
10484,344.0,28.531346,77.190156,2021-11-06,17:15:00
6929,450.0,28.611281,77.237738,2021-11-06,17:15:00
6356,413.43,28.639645,77.146262,2021-11-06,17:15:00
8475,423.0,28.710508,77.249485,2021-11-06,17:15:00
8917,381.0,28.695381,77.181665,2021-11-06,17:15:00
6932,456.0,28.815329,77.15301,2021-11-06,17:15:00
6960,445.0,28.623763,77.287209,2021-11-06,17:00:00
